
RAID device 
   343072 Mbyte of  343308 MByte available for I/O
   342636 MByte of  343072 MByte in use,     436 MByte free
     4158 Files of   85768 Files in use,   81610 Files free

 FileID     MeasID                        ProtName                         PatName   Status         Size   SizeOnDisk          CreationTime             CloseTime dependent files (fileID)
  11715        329         Cor T1map MOLLI pre GRE                          xxxxxx      cld     37738528     37748736   26.02.2018 10:36:48   26.02.2018 10:37:30 11691, 11691
  11714        328         Cor T1map MOLLI pre GRE                          xxxxxx      cld     37728800     37748736   26.02.2018 10:35:25   26.02.2018 10:35:53 11691, 11691
  11713        327       Cor T1map MOLLI pre BW550                          xxxxxx      cld     38443328     41943040   26.02.2018 10:33:55   26.02.2018 10:34:25 11691, 11691
  11712        326          Ch4 BH T2star 16e_FA20                          xxxxxx      cld    147412896    150994944   26.02.2018 10:30:45   26.02.2018 10:31:53 11691, 11691
  11711        325          Sax BH T2star 16e_FA20                          xxxxxx      cld    147427584    150994944   26.02.2018 10:29:29   26.02.2018 10:30:43 11691, 11691
  11710        324                Ch4 BH T2star 8e                          xxxxxx      cld     74758112     75497472   26.02.2018 10:28:39   26.02.2018 10:29:28 11691, 11691
  11709        323                Sax BH T2star 8e                          xxxxxx      cld     74772384     75497472   26.02.2018 10:27:52   26.02.2018 10:28:37 11691, 11691
  11708        322   Ch4  T2map TE0-25-40-60 BW550                          xxxxxx      cld     13929216     16777216   26.02.2018 10:26:56   26.02.2018 10:27:45 11691, 11691
  11707        321    Sax T2map TE0-25-40-60 BW550                          xxxxxx      cld     13926336     16777216   26.02.2018 10:25:54   26.02.2018 10:26:54 11691, 11691
  11706        320       Ch4 T1map SASHA pre BW550                          xxxxxx      cld     41338592     41943040   26.02.2018 10:24:53   26.02.2018 10:25:47 11691, 11691
  11705        319        SAxT1map SASHA pre BW550                          xxxxxx      cld     41340224     41943040   26.02.2018 10:24:01   26.02.2018 10:24:46 11691, 11691
  11704        318       Ch4 T1map MOLLI pre BW550                          xxxxxx      cld     29151008     29360128   26.02.2018 10:23:10   26.02.2018 10:23:51 11691, 11691
  11703        317       Sax T1map MOLLI pre BW550                          xxxxxx      cld     29158144     29360128   26.02.2018 10:22:26   26.02.2018 10:22:59 11691, 11691
  11702        316                          AdjFre                          xxxxxx      cld       656672      4194304   26.02.2018 10:22:23   26.02.2018 10:22:24
  11701        315                          AdjGre                          xxxxxx      cld      8196128      8388608   26.02.2018 10:22:02   26.02.2018 10:22:23
  11700        314                          AdjGre                          xxxxxx      cld      2223808      4194304   26.02.2018 10:21:40   26.02.2018 10:21:44
  11699        313                          AdjFre                          xxxxxx      cld       656672      4194304   26.02.2018 10:21:39   26.02.2018 10:21:40
  11698        312               Rad_tf2d15_retro_                          xxxxxx      cld    322604576    322961408   26.02.2018 10:19:06   26.02.2018 10:20:50 11691, 11691
  11697        311               SAX_tf2d15_retro_                          xxxxxx      cld    944775936    947912704   26.02.2018 10:12:41   26.02.2018 10:18:04 11691, 11691
  11696        310                          AdjFre                          xxxxxx      cld       787456      4194304   26.02.2018 10:12:39   26.02.2018 10:12:40
  11695        309                         Sax Loc                          xxxxxx      cld    105192320    109051904   26.02.2018 10:11:18   26.02.2018 10:11:42 11691, 11691
  11694        308                         Sax Loc                          xxxxxx      cld       846912      4194304   26.02.2018 10:11:15   26.02.2018 10:11:15
  11693        307                   Ch4 Localizer                          xxxxxx      cld    104841664    104857600   26.02.2018 10:10:27   26.02.2018 10:10:51 11691, 11691
  11692        306                      AdjCoilPos                          xxxxxx      cld       822848      4194304   26.02.2018 10:10:24   26.02.2018 10:10:26
  11691        305                AdjQuietCoilSens                          xxxxxx      cld     31296768     33554432   26.02.2018 10:10:15   26.02.2018 10:10:22
  11690        304                          AdjFre                          xxxxxx      cld       781248      4194304   26.02.2018 10:10:13   26.02.2018 10:10:14
  11689        303                          AdjGre                          xxxxxx      cld     51721152     54525952   26.02.2018 10:09:51   26.02.2018 10:10:13
  11688        302                         AdjDico                          xxxxxx      cld      1452000      4194304   26.02.2018 10:09:49   26.02.2018 10:09:49
  11687        301                        AdjTra1D                          xxxxxx      cld       676320      4194304   26.02.2018 10:09:46   26.02.2018 10:09:48
  11686        300                          AdjFre                          xxxxxx      cld       781184      4194304   26.02.2018 10:09:45   26.02.2018 10:09:46
  11685        299                         AdjDico                          xxxxxx      cld      1051136      4194304   26.02.2018 10:09:43   26.02.2018 10:09:45
  11684        298               3-Plane localizer                          xxxxxx      cld     55122208     58720256   26.02.2018 10:08:44   26.02.2018 10:09:05 11682, 11682
  11683        297                      AdjCoilPos                          xxxxxx      cld      1002080      4194304   26.02.2018 10:08:41   26.02.2018 10:08:43
  11682        296                AdjQuietCoilSens                          xxxxxx      cld     25609184     29360128   26.02.2018 10:08:32   26.02.2018 10:08:39
  11681        295                         AdjDico                          xxxxxx      cld      1448864      4194304   26.02.2018 10:08:31   26.02.2018 10:08:32
  11680        294                        AdjTra1D                          xxxxxx      cld       664448      4194304   26.02.2018 10:08:29   26.02.2018 10:08:31
  11679        293                          AdjFre                          xxxxxx      cld       853568      4194304   26.02.2018 10:08:27   26.02.2018 10:08:29
  11678        292                         AdjDico                          xxxxxx      cld      1047968      4194304   26.02.2018 10:08:25   26.02.2018 10:08:27
  11677        291                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 18:04:16   25.02.2018 18:08:09
  11676        290                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 18:00:23   25.02.2018 18:04:15
  11675        289                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 17:56:29   25.02.2018 18:00:22
  11674        288                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 17:52:36   25.02.2018 17:56:29
  11673        287                        rf_field                          xxxxxx      cld      7188672      8388608   25.02.2018 17:48:42   25.02.2018 17:52:35
  11672        286                        rf_field                          xxxxxx      cld      7189280      8388608   25.02.2018 17:44:49   25.02.2018 17:48:42
  11671        285                        rf_field                          xxxxxx      cld      7188640      8388608   25.02.2018 17:40:55   25.02.2018 17:44:48
  11670        284                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 17:37:02   25.02.2018 17:40:54
  11669        283                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 17:33:08   25.02.2018 17:37:01
  11668        282                        rf_field                          xxxxxx      cld      2863264      4194304   25.02.2018 17:31:23   25.02.2018 17:32:43
  11667        281                        rf_field                          xxxxxx      cld      2864128      4194304   25.02.2018 17:28:40   25.02.2018 17:29:59
  11666        280                        rf_field                          xxxxxx      cld      2864128      4194304   25.02.2018 17:24:21   25.02.2018 17:25:40
  11665        279                        rf_field                          xxxxxx      cld      1992768      4194304   25.02.2018 17:21:55   25.02.2018 17:22:43
  11664        278                        rf_field                          xxxxxx      cld      7189536      8388608   25.02.2018 17:18:01   25.02.2018 17:21:54
  11663        277                          AdjFre                          xxxxxx      cld       634752      4194304   25.02.2018 17:18:00   25.02.2018 17:18:01
  11662        276                       localizer                          xxxxxx      cld     10512416     12582912   25.02.2018 17:17:09   25.02.2018 17:17:25
  11661        275                         AdjDico                          xxxxxx      cld      1429888      4194304   25.02.2018 17:17:08   25.02.2018 17:17:09
  11660        274                          AdjTra                          xxxxxx      cld       686400      4194304   25.02.2018 17:17:06   25.02.2018 17:17:08
  11659        273                          AdjFre                          xxxxxx      cld       651392      4194304   25.02.2018 17:17:05   25.02.2018 17:17:05
  11658        272                         AdjDico                          xxxxxx      cld      1028992      4194304   25.02.2018 17:17:04   25.02.2018 17:17:05
  11657        271 BEAT_interactive_1123_gadgetron                          xxxxxx      cld       834080      4194304   25.02.2018 17:12:11   25.02.2018 17:12:11
  11656        270                          AdjFre                          xxxxxx      cld       640608      4194304   25.02.2018 17:12:09   25.02.2018 17:12:10
  11655        269                     AdjFieldMap                          xxxxxx      cld     13664992     16777216   25.02.2018 17:11:24   25.02.2018 17:12:08
  11654        268                         AdjDico                          xxxxxx      cld      1418816      4194304   25.02.2018 17:11:22   25.02.2018 17:11:23
  11653        267                          AdjTra                          xxxxxx      cld       675520      4194304   25.02.2018 17:11:20   25.02.2018 17:11:22
  11652        266                          AdjFre                          xxxxxx      cld       640544      4194304   25.02.2018 17:11:19   25.02.2018 17:11:20
  11651        265                         AdjDico                          xxxxxx      cld      1017920      4194304   25.02.2018 17:11:18   25.02.2018 17:11:19
  11650        264                  trufi_realtime                          xxxxxx      cld      4606208      8388608   25.02.2018 17:10:25   25.02.2018 17:10:28
  11649        263                          AdjFre                          xxxxxx      cld       643936      4194304   25.02.2018 17:10:24   25.02.2018 17:10:25
  11648        262                        rf_field                          xxxxxx      cld      7189472      8388608   25.02.2018 17:05:58   25.02.2018 17:09:51
  11647        261                        rf_field                          xxxxxx      cld      7189472      8388608   25.02.2018 17:02:05   25.02.2018 17:05:58
